text,x,y
Will call of duty WWII go down in price on black Friday?,4.66124,-4.611151
can you tell me if any of your shops in the Edinburgh area sell Caribbean foods such as Dunn’s river jerk seasoning?,0.76341164,-0.8918157
Time for  to clean up their act or waiting for @133684 customers to complain of crud falling in their drinks from filthy aircon? https://t.co/f3mSgR2BMd,3.2355442,-0.75759214
you need to update your website as it says LOL big surprise dolls are in stock when they aren't #wastesjourney,3.2922769,-3.3815725
@AldiUK Congratulations on leading the way. Now it's up to. @117249 @sainsburys @Morrisons   @117250 @117246  https://t.co/d7L3jTIacD,0.7268046,-0.16044667
"Hello, I looked in your Evesham store for the Kellogg’s advent calendar today but couldn’t find them. Are they in stores yet? Thanks!",-1.1303252,-1.5278165
steak not up to your usual standard tonight Tesco 😟 All this is about to go in the food recycling bin #fat &amp; #gristle https://t.co/qla4IQU512,-2.059939,1.1237885
"Why is all the Halloween food - pumpkin pasties, witches fingers etc - are unavailable on your website? Are they still in store?",0.305144,0.687722
"can you add food bank donations to online shopping baskets, I would donate every week if you did",1.8092718,-3.671966
why have you discontinued the tescos own brand Thai green curry paste. It was my favourite😭😭,-1.4763535,1.9256811
"Please, please, please stop using @147613 They have failed to deliver my order twice now. Both times claiming they had tried. I was here waiting - no-one came anywhere near my house. They lied about leaving a card. They can't be contacted by phone. I am FURIOUS!",3.1631355,-2.1301377
I was in  s in Sale yesterday and as I was checking which tv guide to buy a friendly staff member said hello. It made my day. Ty #WMHD,2.1297143,-2.1221523
If we can't spend old £1 after today perhaps  shouldn't be giving them out in change still on Saturday afternoon.,-0.2383079,-2.7488246
"this happens every time to finest soup, pls make a lid that works properly!! #shitlid https://t.co/XPlOqoQSG7",-1.6930032,2.434835
please please please can u reprogramme yr substitution computer how on earth would you get Sauvignon blanc instead of Macon village when u have other Macon’s available ! V frustrating,-0.48212868,-0.84599125
Dear  can you please inform me as to why my order for Xbox one X (4H7M64GDV) placed and paid for in September has not been dispatched,4.5510983,-3.961727
"Hello, is there any chance of getting something you no longer sell? (old stock etc...)",0.8063254,-1.5759869
yo,4.868603,1.6413786
"hello I sent a message regarding an order 10 hours ago and I’m still awaiting a response,please help because the delivery is tomorrow",4.0991225,-2.6659386
Whatever you have done this year to seal the glitter on your xmas wrapping paper stops the sellotape sticking to it!!! 🤷🏼‍♀️🤦🏼‍♀️ (using 3M tape) #tesco #xmas #wrappingpaper #nonstick https://t.co/5k1AdhFTgB,1.2529383,2.5890746
Bought some milk yesterday evening at full price for me to get home this evening and it ran out of date yesterday 🤔🤔🙄 #Annoyed,-1.2162856,-0.46814355
"just been to collect a click and collect first of all to be told it had been collected,then to be told it's been sent back! #nothappy",3.809997,-3.2626407
"new grocery online website is just awful, like going back in time!",2.581682,-4.452664
are you really paying staff with prepaid cards...outragrous abuse if true,1.4241736,-2.8760033
"received a direct order today was supposed to be a kids bike,got it home ( huge box) opened it and it's a SUITCASE !!!",3.9429352,-2.4430003
my Clubcard Boost still hasn't been emailed to me. Usually arrives in a few hours but it's now been nearly 24.,0.78063333,-4.0456934
"@55982  I would just like to say I was very unhappy with the service I received today. I initially picked up some heels from Dorothy Perkins which I was very passionate about buying, however I was not notified that I had to purchase them specifically from...",3.3925753,-1.3491653
Somehow I think  have made an error in pricing the product or the price per litre #awkward https://t.co/0A7x9NOghv,0.41669586,-2.4799542
"Hi, I work in one of your Tesco stores and am trying to sign up for a MyAccount. However once I've put in my D.O.B and national insurance number it says it doesnt match the records. Thanks",2.181812,-2.1078491
Date night! 💜 thanks  Clubcard! #tesco #clubcard #date #chef&amp;brewer https://t.co/aplFSQ2NwC,1.5206256,-1.1645837
"Again, not impressed with the service received from . Sit and tell me there going to do something about my problem and ignore me.",3.7738774,-1.5138993
@sainsburys would you still eat these? Only bought 2 weeks ago! #verydisappointed stored as per instructions and in date #hungrysobettergotesco https://t.co/6TtspYwUOI,-0.4314459,0.47291058
"just gone to open this, stil in date and it’s gone green what the hell both packets purchased are the same #tesco #wiltshireham #thinkimgonnagoveggie https://t.co/834Ecg40p8",-1.0649426,1.1488574
"Stilton and Truffle @tesco finest crisps, more like @tesco foulest https://t.co/N01oe3Q2SS",-0.45414266,1.3659344
"(elgin store) lovely breakfast. NOT. Hair in bacon roll(why no hair nets?), dirty cutlery, rude staff, long wait for food.",-0.349074,0.20381866
Huge thanks to @Morrisons and  in Chorley for their kind donations of pumpkins for our children to carve. Thank you so much! 💓 https://t.co/2tVmpKqqS6,0.6945421,0.71601856
When you and your sister are in  contemplating buying 3 sets of Xmas bedding as they’re all amazing  @84576,1.4000344,0.69510436
Hey  You retarget me with a specific TV offer. I click on the banner and you take me to a generic Black Friday deals page?? #badcustomerexperience #poorservice,2.0552094,-2.0294783
why do your mixed nuts no longer contain Brazils  it still shows them in the description &amp; pic online but they have vanished,0.057297353,2.7874863
"hi  on your chocolate pillows box unscrambler you only give seven boxes for the answer ‘swimming’ when there’s 8 letters, which gives you the answer ‘wiiner’ instead of winner pls fix thanks
Sincerely, a 21 year old who still does these https://t.co/xigw4K6sqe",0.35227886,-0.89052665
"Hey there, how long does it usually take for your home delivery service to become available to new properties? We've been at our new place for a month now and still don't see ant slots available for our address (in the middle of a major city)",4.7283936,-2.9940538
very disappointed https://t.co/EQdhLl6xcM,3.6121404,1.780552
"I ordered flowers for delivery 2moro for a lady who's leaving the company,said delivery can be 7pm! We need it to be before 3pm! Help",4.498065,-2.1305442
hi can you tell me if you sell the Season Pass for COD: WW2 on Xbox one please.,4.706729,-4.5727425
The joys of click and collect Redmere Farm veg from  #rubbish https://t.co/HluU1Abzc7,3.82323,-3.2829978
Disappointed to find the 1 item we wanted on our food order not delivered along with a late delivery. No surprise,3.792831,-1.9837993
Not pleased to see all my satsunas are mouldy since 3 days before best before date :( https://t.co/RbO3qRppHO,-0.9861903,3.0831184
fed up of buying food that falls below standard. Ripe and ready avocado and mango that's SOLID &amp; woody. Going to shop @117246 today,-0.5418986,3.6480422
@908 @909 @sainsburys  hey my wallet was lost and I’ve lost my membership cards and losing points help plz x,0.7036613,-4.020493
Bit of kale creeeeeping into my spinach 👀  https://t.co/8yTPEu17B0,-1.3775421,2.5024135
